type,data,created_at,user_id
auth,"{""amount"":""-1.00""}",2021-12-30 3:40:03,600
auth,"{""amount"":""-1.00""}",2021-12-30 3:49:49,600
auth,"{""amount"":""-1.95""}",2021-12-31 17:53:21,600
auth,"{""amount"":""-100.00""}",2021-12-30 0:45:48,595
auth,"{""amount"":""-100.00""}",2021-12-30 21:52:42,595
auth,"{""amount"":""-200.00""}",2022-01-01 15:27:15,595
auth,"{""amount"":""-12.99""}",2022-01-01 4:28:15,532
auth,"{""amount"":""-42.29""}",2021-12-27 17:59:01,473
auth,"{""amount"":""-1.99""}",2021-12-28 0:46:53,456
auth,"{""amount"":""-88.19""}",2021-12-25 21:15:26,455
auth,"{""amount"":""-10.00""}",2021-12-27 18:48:49,455
auth,"{""amount"":""-1419.97""}",2021-12-30 13:12:21,451
auth,"{""amount"":""-1.70""}",2021-12-31 14:01:04,451
auth,"{""amount"":""-14.20""}",2021-12-31 14:06:44,451
auth,"{""amount"":""-52.24""}",2021-12-31 17:33:19,451
auth,"{""amount"":""-34.23""}",2021-12-31 17:48:51,451
auth,"{""amount"":""-22.66""}",2021-12-31 22:13:20,451
auth,"{""amount"":""-23.21""}",2022-01-01 12:14:10,451
auth,"{""amount"":""-30.67""}",2022-01-01 18:11:42,451
auth,"{""amount"":""-10.00""}",2022-01-01 19:42:45,451
auth,"{""amount"":""-1.00""}",2021-12-24 20:38:44,445
auth,"{""amount"":""-1.00""}",2021-12-27 21:57:57,445
auth,"{""amount"":""-1.00""}",2021-12-27 21:59:53,445
auth,"{""amount"":""-1.00""}",2021-12-27 22:01:48,445
auth,"{""amount"":""-1.00""}",2021-12-27 22:03:28,445
auth,"{""amount"":""-1.00""}",2021-12-29 17:42:51,445
auth,"{""amount"":""-1.00""}",2021-12-30 2:38:21,445
auth,"{""amount"":""-12.27""}",2021-12-15 18:25:06,436
auth,"{""amount"":""-2129.36""}",2021-12-15 18:25:06,436
auth,"{""amount"":""-283.91""}",2021-12-15 18:25:06,436
auth,"{""amount"":""-2472.00""}",2021-12-15 18:25:07,436
auth,"{""amount"":""-14.19""}",2021-12-15 18:25:11,436
auth,"{""amount"":""-553.64""}",2021-12-15 18:25:11,436
auth,"{""amount"":""-1.17""}",2021-12-15 18:25:12,436
auth,"{""amount"":""-2575.00""}",2021-12-15 18:25:12,436
auth,"{""amount"":""-1.17""}",2021-12-15 18:25:12,436
auth,"{""amount"":""-2.00""}",2021-12-18 21:28:12,435
auth,"{""amount"":""-2.00""}",2021-12-18 21:28:56,435
auth,"{""amount"":""-53.43""}",2021-11-03 20:31:48,385
auth,"{""amount"":""-40.60""}",2021-11-05 14:28:48,385
auth,"{""amount"":""-1.08""}",2021-11-02 21:05:45,383
auth,"{""amount"":""-1.08""}",2021-11-02 21:06:29,383
auth,"{""amount"":""-1.35""}",2021-11-05 21:57:51,383
auth,"{""amount"":""-1.00""}",2021-11-06 19:13:08,383
auth,"{""amount"":""-1.00""}",2021-11-06 19:13:43,383
auth,"{""amount"":""-1.57""}",2021-11-06 23:23:37,383
auth,"{""amount"":""-1.00""}",2021-11-07 18:20:49,383
auth,"{""amount"":""-1.00""}",2021-11-07 18:21:29,383
auth,"{""amount"":""-1.00""}",2021-11-07 18:22:04,383
auth,"{""amount"":""-1.00""}",2021-11-07 18:22:39,383
auth,"{""amount"":""-1.00""}",2021-11-08 20:45:56,383
auth,"{""amount"":""-1.00""}",2021-11-08 20:46:21,383
auth,"{""amount"":""-1.00""}",2021-11-08 20:47:11,383
auth,"{""amount"":""-1.00""}",2021-11-08 20:47:36,383
auth,"{""amount"":""-1.00""}",2021-11-08 20:48:21,383
auth,"{""amount"":""-1.00""}",2021-11-08 20:48:56,383
auth,"{""amount"":""-1.00""}",2021-11-08 20:49:31,383
auth,"{""amount"":""-1.00""}",2021-11-08 20:49:56,383
auth,"{""amount"":""-1.00""}",2021-11-08 20:50:31,383
auth,"{""amount"":""-1.00""}",2021-11-08 20:51:06,383
auth,"{""amount"":""-2.17""}",2021-11-08 23:52:47,383
auth,"{""amount"":""-1.00""}",2021-11-11 14:11:11,383
auth,"{""amount"":""-1.00""}",2021-11-11 14:11:51,383
auth,"{""amount"":""-1.00""}",2021-11-11 14:12:26,383
auth,"{""amount"":""-1.00""}",2021-11-11 14:13:12,383
auth,"{""amount"":""-1.00""}",2021-11-11 14:13:47,383
auth,"{""amount"":""-1.00""}",2021-11-11 14:14:22,383
auth,"{""amount"":""-1.57""}",2021-11-22 17:19:47,383
auth,"{""amount"":""-2.71""}",2021-11-23 21:57:29,383
auth,"{""amount"":""-1.57""}",2021-11-28 21:10:59,383
auth,"{""amount"":""-1.08""}",2021-11-29 19:20:16,383
auth,"{""amount"":""-2.05""}",2021-11-29 19:23:06,383
auth,"{""amount"":""-6.01""}",2021-11-30 21:06:55,383
auth,"{""amount"":""-3.00""}",2021-11-30 23:35:16,383
auth,"{""amount"":""-1.00""}",2021-11-30 23:35:51,383
auth,"{""amount"":""-1.00""}",2021-11-30 23:36:16,383
auth,"{""amount"":""-1.00""}",2021-11-30 23:37:11,383
auth,"{""amount"":""-1.00""}",2021-11-30 23:37:36,383
auth,"{""amount"":""-1.00""}",2021-11-30 23:38:11,383
auth,"{""amount"":""-1.00""}",2021-11-30 23:39:06,383
auth,"{""amount"":""-3.03""}",2021-12-04 19:50:53,383
auth,"{""amount"":""-1.07""}",2021-12-07 12:02:39,383
auth,"{""amount"":""-1.35""}",2021-12-12 20:08:02,383
auth,"{""amount"":""-1.35""}",2021-12-12 20:45:00,383
auth,"{""amount"":""-4.06""}",2021-12-13 21:42:22,383
auth,"{""amount"":""-21.71""}",2021-12-13 22:07:30,383
auth,"{""amount"":""-18.20""}",2021-12-15 1:41:19,383
auth,"{""amount"":""-1.52""}",2021-12-24 0:33:23,383
auth,"{""amount"":""-7.27""}",2021-12-24 17:44:55,383
auth,"{""amount"":""-48.96""}",2021-12-27 16:55:36,383
auth,"{""amount"":""-3.25""}",2021-12-27 18:01:36,383
auth,"{""amount"":""-6.48""}",2021-12-28 0:37:48,383
auth,"{""amount"":""-1.35""}",2021-12-28 18:13:50,383
auth,"{""amount"":""-21.66""}",2021-12-28 18:39:22,383
auth,"{""amount"":""-1.57""}",2021-12-31 17:56:06,383
auth,"{""amount"":""-4.00""}",2021-12-28 0:10:16,382
auth,"{""amount"":""-1.89""}",2021-11-06 13:31:36,379
auth,"{""amount"":""-1.60""}",2021-11-26 20:13:46,379
auth,"{""amount"":""-8.53""}",2021-12-29 4:11:37,379
auth,"{""amount"":""-24.59""}",2021-11-03 21:10:51,378
auth,"{""amount"":""-8.47""}",2021-11-05 3:39:09,378
auth,"{""amount"":""-7.37""}",2021-11-05 4:04:11,378
auth,"{""amount"":""-7.37""}",2021-11-05 4:05:26,378
auth,"{""amount"":""-7.16""}",2021-11-05 4:43:14,378
auth,"{""amount"":""-7.16""}",2021-11-05 4:43:19,378
auth,"{""amount"":""-7.00""}",2021-11-19 0:20:38,378
auth,"{""amount"":""-17.47""}",2021-11-20 1:43:35,378
auth,"{""amount"":""-19.50""}",2021-11-20 2:14:32,378
auth,"{""amount"":""-27.95""}",2021-11-20 3:20:34,378
auth,"{""amount"":""-27.55""}",2021-11-20 15:17:48,378
auth,"{""amount"":""-4.99""}",2021-11-21 23:12:26,378
auth,"{""amount"":""-1.22""}",2021-11-23 16:15:07,378
auth,"{""amount"":""-15.75""}",2021-11-24 16:46:52,378
auth,"{""amount"":""-26.00""}",2021-11-24 16:48:37,378
auth,"{""amount"":""-25.00""}",2021-11-24 16:51:22,378
auth,"{""amount"":""-16.78""}",2021-11-24 16:54:12,378
auth,"{""amount"":""-40.00""}",2021-11-24 16:55:42,378
auth,"{""amount"":""-6.49""}",2021-11-26 20:06:00,378
auth,"{""amount"":""-2.00""}",2021-11-28 21:11:59,378
auth,"{""amount"":""-3.20""}",2021-12-06 10:49:34,378
auth,"{""amount"":""-25.15""}",2021-12-08 20:18:39,378
auth,"{""amount"":""-23.23""}",2021-12-09 1:08:06,378
auth,"{""amount"":""-2.80""}",2021-12-09 10:48:34,378
auth,"{""amount"":""-3.92""}",2021-12-12 19:29:55,378
auth,"{""amount"":""-1.57""}",2021-12-12 23:07:03,378
auth,"{""amount"":""-6.99""}",2021-12-14 2:29:33,378
auth,"{""amount"":""-2.11""}",2021-12-15 2:13:52,378
auth,"{""amount"":""-25.98""}",2021-12-15 8:41:06,378
auth,"{""amount"":""-46.92""}",2021-12-16 0:23:50,378
auth,"{""amount"":""-15.00""}",2021-12-16 0:33:57,378
auth,"{""amount"":""-12.88""}",2021-12-16 2:02:18,378
auth,"{""amount"":""-4.95""}",2021-12-18 13:09:21,378
auth,"{""amount"":""-10.87""}",2021-12-19 3:38:41,378
auth,"{""amount"":""-13.45""}",2021-12-19 8:58:40,378
auth,"{""amount"":""-15.00""}",2021-12-20 2:19:34,378
auth,"{""amount"":""-17.26""}",2021-12-20 2:23:29,378
auth,"{""amount"":""-2.44""}",2021-12-20 5:04:07,378
auth,"{""amount"":""-19.10""}",2021-12-21 0:40:25,378
auth,"{""amount"":""-5.11""}",2021-12-21 0:46:01,378
auth,"{""amount"":""-139.00""}",2021-12-21 15:03:01,378
auth,"{""amount"":""-7.96""}",2021-12-22 23:10:49,378
auth,"{""amount"":""-6.49""}",2021-12-26 19:27:43,378
auth,"{""amount"":""-10.00""}",2021-12-27 0:55:41,378
auth,"{""amount"":""-6.50""}",2021-12-27 0:57:51,378
auth,"{""amount"":""-12.36""}",2021-12-27 2:54:20,378
auth,"{""amount"":""-5.40""}",2021-12-27 3:28:17,378
auth,"{""amount"":""-11.47""}",2021-12-27 17:48:05,378
auth,"{""amount"":""-10.90""}",2021-12-28 0:43:28,378
auth,"{""amount"":""-5.82""}",2021-12-28 0:48:43,378
auth,"{""amount"":""-2.00""}",2021-12-28 8:58:05,378
auth,"{""amount"":""-6.57""}",2021-12-29 17:58:58,378
auth,"{""amount"":""-3.55""}",2021-12-30 12:50:34,378
auth,"{""amount"":""-6.88""}",2021-12-31 2:17:21,378
auth,"{""amount"":""-11.77""}",2021-12-31 2:20:36,378
auth,"{""amount"":""-37.10""}",2021-12-31 3:06:04,378
auth,"{""amount"":""-1.00""}",2021-12-31 8:42:25,378
auth,"{""amount"":""-4.08""}",2022-01-01 15:29:15,378
auth,"{""amount"":""-2.48""}",2021-11-06 20:59:51,367
auth,"{""amount"":""-3.25""}",2021-11-12 2:07:06,367
auth,"{""amount"":""-5.36""}",2021-12-19 0:01:30,367
auth,"{""amount"":""-32.00""}",2021-12-20 21:32:00,367
auth,"{""amount"":""-8.00""}",2021-12-20 23:48:55,367
auth,"{""amount"":""-8.65""}",2021-12-21 19:41:33,367
auth,"{""amount"":""-9.95""}",2021-12-22 19:10:00,367
auth,"{""amount"":""-112.54""}",2021-12-26 0:55:46,367
auth,"{""amount"":""-10.16""}",2021-12-27 20:17:43,367
auth,"{""amount"":""-11.90""}",2021-12-28 1:47:03,367
auth,"{""amount"":""-16.78""}",2021-12-28 19:57:28,367
auth,"{""amount"":""-9.31""}",2021-12-29 20:27:20,367
auth,"{""amount"":""-7.57""}",2021-12-30 14:45:53,367
auth,"{""amount"":""-11.37""}",2021-12-30 21:16:45,367
auth,"{""amount"":""-70.00""}",2021-12-21 3:09:04,360
auth,"{""amount"":""-32.43""}",2021-12-27 23:10:26,360
auth,"{""amount"":""-9.21""}",2021-12-28 14:32:19,360
auth,"{""amount"":""-5.17""}",2021-11-03 22:32:25,358
auth,"{""amount"":""-33.00""}",2021-11-11 11:34:05,358
auth,"{""amount"":""-19.29""}",2021-11-15 20:41:30,358
auth,"{""amount"":""-33.00""}",2021-11-19 1:11:52,358
auth,"{""amount"":""-33.00""}",2021-11-21 16:09:24,358
auth,"{""amount"":""-5.99""}",2021-11-22 16:09:22,358
auth,"{""amount"":""-33.00""}",2021-11-25 16:44:19,358
auth,"{""amount"":""-9.24""}",2021-11-26 21:42:08,358
auth,"{""amount"":""-52.64""}",2021-11-28 1:48:54,358
auth,"{""amount"":""-33.00""}",2021-12-06 14:30:47,358
auth,"{""amount"":""-33.00""}",2021-12-07 20:31:57,358
auth,"{""amount"":""-12.00""}",2021-12-16 20:56:22,358
auth,"{""amount"":""-25.56""}",2021-12-16 22:04:32,358
auth,"{""amount"":""-11.00""}",2021-12-23 12:37:48,358
auth,"{""amount"":""-20.00""}",2021-12-24 14:42:32,358
auth,"{""amount"":""-22.00""}",2021-12-24 20:46:24,358
auth,"{""amount"":""-12.00""}",2021-12-28 11:48:37,358
auth,"{""amount"":""-59.34""}",2022-01-01 18:56:56,358
auth,"{""amount"":""-9.25""}",2021-11-19 1:09:42,356
auth,"{""amount"":""-5.10""}",2021-11-20 0:58:46,356
auth,"{""amount"":""-15.00""}",2021-11-20 3:20:29,356
auth,"{""amount"":""-2.10""}",2021-12-07 3:21:44,356
auth,"{""amount"":""-1.01""}",2021-12-07 19:03:41,356
auth,"{""amount"":""-1.01""}",2021-12-07 19:44:44,356
auth,"{""amount"":""-1.01""}",2021-12-07 19:51:14,356
auth,"{""amount"":""-1.01""}",2021-12-07 19:55:50,356
auth,"{""amount"":""-1.01""}",2021-12-07 19:58:25,356
auth,"{""amount"":""-1.01""}",2021-12-07 20:24:27,356
